latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,geometry
69.2649,57.28856,321.31,0.58,0.52,2025-01-18,100,N,VIIRS,n,2.0NRT,267.22,2.59,N,POINT (57.28856 69.2649)
64.66222,21.2844,317.46,0.4,0.37,2025-01-18,102,N,VIIRS,n,2.0NRT,274.52,1.72,N,POINT (21.2844 64.66222)
65.56139,22.21685,302.73,0.4,0.37,2025-01-18,102,N,VIIRS,n,2.0NRT,271.57,0.92,N,POINT (22.21685 65.56139)
65.56346,22.22775,295.45,0.4,0.37,2025-01-18,102,N,VIIRS,n,2.0NRT,272.22,0.75,N,POINT (22.22775 65.56346)
65.56463,22.21947,302.67,0.4,0.37,2025-01-18,102,N,VIIRS,n,2.0NRT,271.72,0.92,N,POINT (22.21947 65.56463)
65.76905,24.1886,330.08,0.39,0.36,2025-01-18,102,N,VIIRS,n,2.0NRT,267.19,3.03,N,POINT (24.1886 65.76905)
57.81495,-0.98067,311.45,0.47,0.64,2025-01-18,104,N,VIIRS,n,2.0NRT,274.96,1.61,N,POINT (-0.98067 57.81495)
58.68192,17.13535,325.14,0.4,0.37,2025-01-18,104,N,VIIRS,n,2.0NRT,276.37,2.53,N,POINT (17.13535 58.68192)
58.68285,17.12861,315.56,0.4,0.37,2025-01-18,104,N,VIIRS,n,2.0NRT,275.49,2.92,N,POINT (17.12861 58.68285)
59.38444,28.46014,304.0,0.51,0.41,2025-01-18,104,N,VIIRS,n,2.0NRT,274.48,1.35,N,POINT (28.46014 59.38444)
60.2874,22.28835,295.36,0.39,0.36,2025-01-18,104,N,VIIRS,n,2.0NRT,275.88,0.44,N,POINT (22.28835 60.2874)
60.48628,15.45186,295.44,0.44,0.38,2025-01-18,104,N,VIIRS,n,2.0NRT,271.96,0.63,N,POINT (15.45186 60.48628)
60.48977,15.45357,297.79,0.44,0.38,2025-01-18,104,N,VIIRS,n,2.0NRT,272.4,1.1,N,POINT (15.45357 60.48977)
49.67826,18.6647,327.53,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,275.24,9.74,N,POINT (18.6647 49.67826)
49.68051,18.65312,333.56,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,271.65,4.05,N,POINT (18.65312 49.68051)
50.33163,19.28822,330.1,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,274.72,6.92,N,POINT (19.28822 50.33163)
50.33219,19.28832,327.82,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,275.62,7.55,N,POINT (19.28832 50.33219)
50.33503,19.28983,316.96,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,273.6,3.37,N,POINT (19.28983 50.33503)
50.3405,19.33774,300.89,0.44,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,275.42,1.48,N,POINT (19.33774 50.3405)
50.34526,19.29465,300.28,0.43,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,271.87,1.2,N,POINT (19.29465 50.34526)
50.48993,19.46867,298.69,0.44,0.38,2025-01-18,106,N,VIIRS,n,2.0NRT,269.45,0.67,N,POINT (19.46867 50.48993)
50.53538,17.97575,307.09,0.41,0.37,2025-01-18,106,N,VIIRS,n,2.0NRT,274.24,0.9,N,POINT (17.97575 50.53538)
51.17765,16.10997,295.84,0.38,0.36,2025-01-18,106,N,VIIRS,n,2.0NRT,271.04,0.56,N,POINT (16.10997 51.17765)
51.18091,16.11131,298.67,0.38,0.36,2025-01-18,106,N,VIIRS,n,2.0NRT,272.33,0.56,N,POINT (16.11131 51.18091)
51.4807,6.71631,296.23,0.43,0.46,2025-01-18,106,N,VIIRS,n,2.0NRT,271.23,1.25,N,POINT (6.71631 51.4807)
51.48542,6.71101,309.78,0.43,0.46,2025-01-18,106,N,VIIRS,n,2.0NRT,272.88,1.66,N,POINT (6.71101 51.48542)
51.48592,6.70477,299.03,0.43,0.46,2025-01-18,106,N,VIIRS,n,2.0NRT,272.17,1.66,N,POINT (6.70477 51.48592)
51.6871,15.97692,329.27,0.38,0.36,2025-01-18,106,N,VIIRS,n,2.0NRT,271.65,6.83,N,POINT (15.97692 51.6871)
51.69035,15.97826,333.63,0.38,0.36,2025-01-18,106,N,VIIRS,n,2.0NRT,278.65,6.83,N,POINT (15.97826 51.69035)
51.69122,15.97279,325.46,0.38,0.36,2025-01-18,106,N,VIIRS,n,2.0NRT,272.57,6.83,N,POINT (15.97279 51.69122)
52.15617,10.40767,300.2,0.48,0.4,2025-01-18,106,N,VIIRS,n,2.0NRT,270.06,1.46,N,POINT (10.40767 52.15617)
52.58611,19.6906,326.94,0.42,0.37,2025-01-18,106,N,VIIRS,n,2.0NRT,273.46,4.28,N,POINT (19.6906 52.58611)
52.58945,19.69231,295.01,0.42,0.37,2025-01-18,106,N,VIIRS,n,2.0NRT,272.47,0.74,N,POINT (19.69231 52.58945)
38.73502,26.94526,304.5,0.59,0.7,2025-01-18,109,N,VIIRS,n,2.0NRT,278.26,1.86,N,POINT (26.94526 38.73502)
40.28543,23.44464,298.77,0.36,0.57,2025-01-18,109,N,VIIRS,n,2.0NRT,275.39,0.49,N,POINT (23.44464 40.28543)
43.43655,4.89112,301.35,0.42,0.45,2025-01-18,109,N,VIIRS,n,2.0NRT,274.53,1.79,N,POINT (4.89112 43.43655)
43.44444,4.89778,340.18,0.42,0.45,2025-01-18,109,N,VIIRS,n,2.0NRT,276.7,5.02,N,POINT (4.89778 43.44444)
43.5243,-5.73237,310.18,0.7,0.75,2025-01-18,109,N,VIIRS,n,2.0NRT,277.04,2.45,N,POINT (-5.73237 43.5243)
43.53793,-5.83221,308.62,0.71,0.75,2025-01-18,109,N,VIIRS,n,2.0NRT,275.3,2.05,N,POINT (-5.83221 43.53793)
43.93179,7.8952,301.58,0.47,0.4,2025-01-18,109,N,VIIRS,n,2.0NRT,279.36,0.99,N,POINT (7.8952 43.93179)
44.08792,15.58292,302.98,0.42,0.38,2025-01-18,109,N,VIIRS,n,2.0NRT,273.73,1.0,N,POINT (15.58292 44.08792)
44.0913,15.58411,309.26,0.42,0.38,2025-01-18,109,N,VIIRS,n,2.0NRT,273.4,1.2,N,POINT (15.58411 44.0913)
45.14621,9.94227,334.41,0.42,0.38,2025-01-18,109,N,VIIRS,n,2.0NRT,282.22,12.01,N,POINT (9.94227 45.14621)
45.38167,11.94925,303.75,0.39,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,276.09,1.33,N,POINT (11.94925 45.38167)
45.42843,8.72585,301.58,0.46,0.39,2025-01-18,109,N,VIIRS,n,2.0NRT,270.98,0.59,N,POINT (8.72585 45.42843)
45.4614,10.45446,315.99,0.41,0.37,2025-01-18,109,N,VIIRS,n,2.0NRT,273.53,2.11,N,POINT (10.45446 45.4614)
45.47906,10.21224,330.43,0.42,0.37,2025-01-18,109,N,VIIRS,n,2.0NRT,272.87,3.89,N,POINT (10.21224 45.47906)
45.5099,10.24809,298.88,0.42,0.37,2025-01-18,109,N,VIIRS,n,2.0NRT,274.73,1.13,N,POINT (10.24809 45.5099)
45.52062,11.49793,301.68,0.39,0.37,2025-01-18,109,N,VIIRS,n,2.0NRT,273.84,1.34,N,POINT (11.49793 45.52062)
46.42161,14.09541,303.71,0.39,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,271.04,0.87,N,POINT (14.09541 46.42161)
48.2731,14.33883,321.4,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,272.25,2.84,N,POINT (14.33883 48.2731)
48.27475,14.35022,309.69,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,271.18,1.24,N,POINT (14.35022 48.27475)
48.27553,14.32349,302.06,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,272.31,1.32,N,POINT (14.32349 48.27553)
48.27637,14.33999,318.8,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,273.92,8.2,N,POINT (14.33999 48.27637)
48.27718,14.33488,335.45,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,280.35,8.2,N,POINT (14.33488 48.27718)
48.27802,14.35138,296.42,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,273.24,1.24,N,POINT (14.35138 48.27802)
48.28534,14.32697,300.9,0.38,0.36,2025-01-18,109,N,VIIRS,n,2.0NRT,272.01,1.08,N,POINT (14.32697 48.28534)
28.05368,19.91368,329.19,0.47,0.64,2025-01-18,111,N,VIIRS,n,2.0NRT,269.33,6.66,N,POINT (19.91368 28.05368)
28.12811,18.79162,315.49,0.4,0.6,2025-01-18,111,N,VIIRS,n,2.0NRT,276.16,1.84,N,POINT (18.79162 28.12811)
28.526,9.12326,310.89,0.39,0.37,2025-01-18,111,N,VIIRS,n,2.0NRT,273.55,1.06,N,POINT (9.12326 28.526)
